Código IBGE;Município;UF;Operadora;Tecnologia;% área coberta;% moradores cobertos;% domicílios cobertos;Área km2;Moradores;Domicílios
4309126;Gramado dos Loureiros;RS;Todas;2G;65,03;80,07;81,02;131,396147;2244;722
3200607;Aracruz;ES;Todas;2G;65,04;95,27;95,45;1423,879767;81475;23806
4302253;Boa Vista do Sul;RS;Todas;2G;65,06;73,75;74,49;94,348181;2775;915
3541901;Queluz;SP;Todas;2G;65,06;93,97;94,88;249,829338;10642;2998
3305752;Tanguá;RJ;Todas;2G;65,10;94,70;94,67;145,503664;30482;9658
4321956;Trindade do Sul;RS;Todas;2G;65,12;75,82;76,71;268,417233;5761;1954
4316204;Rondinha;RS;Todas;2G;65,14;82,71;83,56;252,208263;5509;1670
2509156;Marizópolis;PB;Todas;2G;65,14;92,38;93,41;63,610439;6173;1754
3546207;Santa Cruz da Conceição;SP;Todas;2G;65,15;93,73;94,03;150,128402;3988;1302
5209200;Guapó;GO;Todas;2G;65,20;94,21;93,77;516,844523;13893;4502
2801702;Cristinápolis;SE;Todas;2G;65,21;89,56;90,18;236,187355;16491;4289
3555406;Ubatuba;SP;Todas;2G;65,33;98,96;99,04;723,828044;78560;25075
3502408;Anhumas;SP;Todas;2G;65,36;96,04;96,43;320,451673;3717;1154
2609402;Moreno;PE;Todas;2G;65,37;94,76;95,27;196,07254;56573;16453
3549706;São José do Rio Pardo;SP;Todas;2G;65,39;97,11;97,32;419,185837;51599;15885
3550001;São Luís do Paraitinga;SP;Todas;2G;65,40;88,66;88,69;617,315441;10318;3459
4319703;São Valentim;RS;Todas;2G;65,40;80,40;82,07;154,188145;3630;1200
3123700;Engenheiro Caldas;MG;Todas;2G;65,47;84,52;83,89;187,058482;10280;3208
2914505;Irará;BA;Todas;2G;65,51;83,32;84,36;277,791589;27348;7803
3138203;Lavras;MG;Todas;2G;65,53;98,48;98,50;564,743544;91735;28978
3113602;Careaçu;MG;Todas;2G;65,54;90,62;90,55;181,009394;6254;1956
2702801;Flexeiras;AL;Todas;2G;65,55;91,64;90,53;333,22141;12290;3183
4304002;Campo Novo;RS;Todas;2G;65,63;91,23;91,61;222,072981;5442;1844
3201902;Domingos Martins;ES;Todas;2G;65,65;76,61;77,64;1228,353125;31758;9750
2804706;Nossa Senhora de Lourdes;SE;Todas;2G;65,70;70,10;70,26;81,061351;6234;1769
4124608;São Carlos do Ivaí;PR;Todas;2G;65,71;95,70;95,91;225,079725;6295;1969
3541109;Presidente Alves;SP;Todas;2G;65,72;95,87;96,25;287,185454;4107;1347
5210158;Ipiranga de Goiás;GO;Todas;2G;65,73;70,93;69,91;241,291934;2829;1016
4206306;Guabiruba;SC;Todas;2G;65,75;88,75;88,89;174,678169;18426;5603
4308706;Gaurama;RS;Todas;2G;65,79;84,79;84,94;204,261032;5843;1990
4304408;Canela;RS;Todas;2G;65,87;98,31;98,28;253,771991;38921;12931
3204609;Santa Teresa;ES;Todas;2G;65,89;88,05;87,98;683,157492;21800;6914
3516804;Gastão Vidigal;SP;Todas;2G;65,91;96,67;96,47;180,938344;4185;1276
3204559;Santa Maria de Jetibá;ES;Todas;2G;65,92;80,53;81,54;735,579049;34153;10123
2409803;Pedro Velho;RN;Todas;2G;66,04;91,37;91,76;192,709091;14086;3816
4312658;Não-Me-Toque;RS;Todas;2G;66,08;94,41;94,27;361,671336;15840;5505
2709103;Taquarana;AL;Todas;2G;66,09;80,53;81,34;166,045632;18904;5316
2513927;São Bentinho;PB;Todas;2G;66,09;86,49;86,24;195,966029;4133;1199
1506104;Primavera;PA;Todas;2G;66,09;79,92;80,07;258,600064;10252;2644
2506004;Esperança;PB;Todas;2G;66,10;95,63;96,01;163,781218;31000;9097
3101805;Alpercata;MG;Todas;2G;66,15;93,57;93,31;166,972387;7126;2210
3504305;Avaí;SP;Todas;2G;66,16;88,58;89,44;540,459119;4914;1562
2309607;Pacajus;CE;Todas;2G;66,20;93,49;93,42;254,478623;61758;17587
2933174;Varzedo;BA;Todas;2G;66,23;77,38;78,42;226,797408;9108;2718
3549904;São José dos Campos;SP;Todas;2G;66,24;99,58;99,53;1099,515332;628183;189503
3554102;Taubaté;SP;Todas;2G;66,24;99,27;99,28;624,88554;276799;83831
4219002;Urussanga;SC;Todas;2G;66,25;83,52;83,98;254,868867;20201;6449
4209102;Joinville;SC;Todas;2G;66,32;99,54;99,55;1126,106627;512893;160651
3527801;Lupércio;SP;Todas;2G;66,33;96,06;96,49;154,48487;4352;1328
3519303;Ibaté;SP;Todas;2G;66,37;99,00;99,04;290,663307;30702;8800
4320651;Silveira Martins;RS;Todas;2G;66,39;80,50;80,52;118,422736;2437;813
3149903;Perdões;MG;Todas;2G;66,39;94,63;94,39;270,656664;20018;6338
3133105;Itanhandu;MG;Todas;2G;66,45;97,49;97,34;143,362662;14118;4371
3549250;São João de Iracema;SP;Todas;2G;66,47;93,74;93,90;178,609763;1780;591
4107538;Entre Rios do Oeste;PR;Todas;2G;66,50;89,47;90,72;122,06993;3922;1276
3122900;Dona Eusébia;MG;Todas;2G;66,51;94,69;94,82;70,23116;5969;1882
4308201;Flores da Cunha;RS;Todas;2G;66,52;92,13;93,06;273,451751;27076;8808
2933109;Várzea do Poço;BA;Todas;2G;66,54;89,53;89,74;204,914389;8656;2811
2403301;Encanto;RN;Todas;2G;66,56;83,90;84,88;125,748528;5227;1481
4206900;Ibirama;SC;Todas;2G;66,56;95,91;96,18;247,348214;17299;5515
4313334;Nova Ramada;RS;Todas;2G;66,65;78,19;79,20;254,754757;2437;849
4112702;Jataizinho;PR;Todas;2G;66,77;98,66;98,55;159,177922;11822;3668
4112108;Jandaia do Sul;PR;Todas;2G;66,78;98,00;98,00;187,600164;20133;6576
4304671;Capivari do Sul;RS;Todas;2G;66,79;95,59;95,55;412,813592;3870;1275
3509700;Campos do Jordão;SP;Todas;2G;66,79;99,46;99,51;290,054578;47289;14299
3169901;Ubá;MG;Todas;2G;66,80;97,65;97,74;407,452295;101130;32159
2700508;Barra de Santo Antônio;AL;Todas;2G;66,84;97,67;97,78;138,437619;14104;3485
3201506;Colatina;ES;Todas;2G;66,86;95,39;95,57;1416,803078;111025;36191
3508108;Buritama;SP;Todas;2G;66,88;97,85;97,65;326,756025;15335;5190
4301925;Barra do Rio Azul;RS;Todas;2G;66,90;73,85;75,10;147,138917;2001;620
4215109;Rodeio;SC;Todas;2G;66,91;76,20;76,02;129,934014;10880;3491
2900306;Acajutiba;BA;Todas;2G;66,92;95,33;95,90;180,151865;14596;4103
4108106;Flórida;PR;Todas;2G;66,92;97,55;97,98;83,04572;2534;817
3201001;Boa Esperança;ES;Todas;2G;66,95;90,90;91,22;428,500656;14081;4377
3505104;Barbosa;SP;Todas;2G;66,95;97,23;97,27;205,149939;6455;2051
3131307;Ipatinga;MG;Todas;2G;66,96;99,71;99,74;164,884494;238526;72890
4323606;Vista Alegre do Prata;RS;Todas;2G;66,97;76,83;78,75;119,328284;1540;472
4124053;Santa Terezinha de Itaipu;PR;Todas;2G;66,98;97,08;97,15;259,392279;20784;6376
2928703;Santo Antônio de Jesus;BA;Todas;2G;67,00;94,85;95,36;261,348098;90697;27427
4118907;Pérola;PR;Todas;2G;67,03;97,47;97,67;240,634854;10143;3447
3502606;Aparecida d'Oeste;SP;Todas;2G;67,06;94,09;94,56;179,015768;4419;1553
3201100;Bom Jesus do Norte;ES;Todas;2G;67,09;97,60;97,70;89,09999;9390;3174
2803708;Macambira;SE;Todas;2G;67,13;92,52;92,86;136,937607;6399;1943
3547403;Santa Rita d'Oeste;SP;Todas;2G;67,13;92,88;92,60;210,080875;2536;910
3546256;Santa Cruz da Esperança;SP;Todas;2G;67,16;89,32;89,17;148,062314;1953;597
4116208;Morretes;PR;Todas;2G;67,19;96,80;96,65;684,580365;15648;4735
3301504;Cordeiro;RJ;Todas;2G;67,27;99,06;99,10;116,348261;20419;6603
3548203;Santo Antônio do Pinhal;SP;Todas;2G;67,32;85,07;85,40;133,008408;6466;1995
4315800;Roca Sales;RS;Todas;2G;67,34;89,90;89,95;208,62823;10236;3556
3203007;Iúna;ES;Todas;2G;67,37;90,92;91,38;461,077651;27273;8699
3300159;Aperibé;RJ;Todas;2G;67,46;96,62;96,61;94,635524;10189;3452
3204054;Pedro Canário;ES;Todas;2G;67,47;94,33;94,47;433,88912;23738;7165
3540259;Pontalinda;SP;Todas;2G;67,48;94,20;94,08;210,190073;4057;1314
4309605;Horizontina;RS;Todas;2G;67,49;92,80;92,55;232,476484;18329;6578
3117603;Conceição do Pará;MG;Todas;2G;67,49;80,41;79,21;250,330585;5140;1647
3549201;São João das Duas Pontes;SP;Todas;2G;67,52;91,56;92,04;129,339556;2566;852
2300150;Acarape;CE;Todas;2G;67,61;87,42;87,09;155,683337;15333;4184
3153806;Queluzito;MG;Todas;2G;67,61;82,36;82,53;153,560188;1861;602
3533007;Nova Granada;SP;Todas;2G;67,66;97,00;96,87;531,884238;19150;6231
3543600;Rifaina;SP;Todas;2G;67,72;96,90;97,09;162,508446;3422;1153
4128708;Vitorino;PR;Todas;2G;67,73;89,39;89,48;308,216642;6488;2065
4322004;Triunfo;RS;Todas;2G;67,74;86,47;86,03;818,798815;25720;8619
